Taxon,Replicate,model,converged,k,AIC,BIC,rss,sigma,r,K,O2_0,extra1,extra2,at_bounds,R_C_fg_cell_h,late_mean_sd
Aeromonas_A,R2,M3o,TRUE,5,-1121.2140986267607,-1104.9031053989902,2.645815018562708e-4,0.001572489846203703,0.019922050379666222,0.0016281039311395946,1.0014377981802194,1e-6,0,"Km@lower,tlag@lower",114.28805721610209,-0.00261186653721636
Aeromonas_A,R2,M3g,TRUE,5,-1120.7906930850377,-1104.4796998572672,2.6558362053264757e-4,0.0015754649826384816,0.020005621609432058,0.0016252776961172646,1.0014168231298488,850.6112256337996,0,tlag@lower,113.54245150447467,0.011696504499205462
Aeromonas_A,R3,M0,TRUE,3,-1196.2662996444349,-1185.1163326733067,3.078377127027102e-4,0.0016220639819568233,0.02463468815971646,9.19021051773819e-4,1.002385543397342,NA,NA,,143.74913922067975,-0.04476747086437677
Aeromonas_A,R3,M1,TRUE,4,-1194.093846931146,-1180.1563882172356,3.0828042614631227e-4,0.001630211606071941,0.024597204046039,0.0010008201108947102,0.9994456788872199,3.3295942178441025,NA,,143.53764645165901,-0.028621878257494193
Aeromonas_A,R3,M2o,TRUE,4,-1194.3651413464693,-1180.427682632559,3.075842570713655e-4,0.0016283698667775123,0.02468403505501461,9.200013418132772e-4,1.002326518247202,0.003484567717138575,NA,,143.08859752008235,-0.032821429920315275
Aeromonas_A,R3,M2g,TRUE,4,-1194.678026782702,-1180.7405680687918,3.067833130868107e-4,0.0016262483615693479,0.024820155247165177,9.125460834717164e-4,1.002232147011891,954.0292546468297,NA,,141.39342452009305,-0.018241793528861967
Aeromonas_A,R3,M3o,TRUE,5,-1192.0931576619687,-1175.3682072052763,3.082821968863619e-4,0.001637288843037044,0.02459870541012321,0.0010003361331421266,0.9994540761007509,1e-6,3.314812272659472,Km@lower,143.5227648048726,-0.029349242464159986
Aeromonas_A,R3,M3g,TRUE,5,-1192.0949710076848,-1175.3700205509924,3.08277538403217e-4,0.0016372764723724873,0.024604358406161462,0.0010004458194898388,0.9994445485259972,22791.864066946415,3.3249031750599047,,143.44749310932497,-0.02766860266424921
Aeromonas_A,R4,M0,TRUE,3,-1030.9262376610113,-1020.4657555936462,2.016141285254186e-4,0.0014343245887070255,0.0216194941726135,0.00128098865506093,1.0026801572192143,NA,NA,,174.16300849703214,-0.0998345502048491
Aeromonas_A,R4,M1,TRUE,4,-1029.656718767983,-1016.5811161837767,2.0016121753428206e-4,0.0014364949378744744,0.021566927988903705,0.0013490770944191164,0.9999999979153728,2.2252470778885263,NA,,173.70120343877804,-0.08747780851456319
Aeromonas_A,R4,M2o,TRUE,4,-1034.6161751313375,-1021.5405725471312,1.9057000381424716e-4,0.0014016558830825302,0.022454688367202803,0.0013967244131710382,1.0021468163448626,0.11856905631380754,NA,,164.05020762180837,0.005537736669636095
Aeromonas_A,R4,M2g,TRUE,4,-1034.8948823122587,-1021.8192797280524,1.9004485516549015e-4,0.0013997232980073008,0.02295176871464989,0.0012405790931157823,1.0020564077668286,69.3163419469403,NA,,158.6571031069582,0.007032253311002196
Aeromonas_A,R4,M3o,TRUE,5,-1033.9881151643501,-1018.2973920633026,1.8799888584799368e-4,0.0013994004886319238,0.022397259215251417,0.0014226468035059012,1.0009739644805058,0.11151002814009756,0.9999968008336716,,164.27023211210292,0.00341228757129235
Aeromonas_A,R4,M3g,TRUE,5,-1034.1489176118869,-1018.4581945108393,1.8769981031770407e-4,0.0013982869367465622,0.022817041229444127,0.0012738135868527144,1.0009175758106672,73.82520598860913,0.9999983660172003,,159.73014036206246,3.067730656632879e-4
Aeromonas_A,R5,M0,TRUE,3,-958.0978176331723,-947.8823100667702,2.1316354142676154e-4,0.0015221678670594375,0.01739496989774508,0.00194308255260356,1.0012721672383855,NA,NA,,171.16473417676744,0.04928164278201077
Aeromonas_A,R5,M1,TRUE,4,-956.0972229096175,-943.3278384516148,2.1316487588756084e-4,0.0015305133660310092,0.017392532370134096,0.0019433596453480098,1.001279877549502,0,NA,tlag@lower,171.18914307585538,0.049027322412506846
Aeromonas_A,R5,M2o,TRUE,4,-956.0964109924406,-943.3270265344379,2.1316669770823256e-4,0.0015305199063086214,0.017391352818490153,0.001943482606294828,1.0012828537911294,1e-6,NA,Km@lower,171.19974542525046,0.04787201876448539
Aeromonas_A,R5,M2g,TRUE,4,-956.0784002743061,-943.3090158163034,2.132071150689634e-4,0.0015306649961465014,0.017399280453590158,0.0019429455901952791,1.0012705664729826,10611.179548108701,NA,,171.1193457016065,0.049512139260784335
Aeromonas_A,R5,M3o,TRUE,5,-953.6379653564474,-938.3147040068441,2.141978716112048e-4,0.0015427171974265435,0.017380225315184086,0.001958276168464131,1.000562584205181,1e-6,0.39599738988472244,Km@lower,171.03281065782932,0.04601821532088974
Aeromonas_A,R5,M3g,TRUE,5,-954.0165813839235,-938.6933200343202,2.133458994537881e-4,0.0015396460612527084,0.01742009519331198,0.0019415560922674915,1.0012392698477763,2810.0668839281284,0,tlag@lower,170.90431045858634,0.04965631052726489
Aeromonas_B,R1,M0,TRUE,3,-962.4831024682833,-952.3099233392032,1.8066418015448302e-4,0.0014090140741093663,0.03054020779769078,8.464285681270882e-4,1.0015891211160342,NA,NA,,126.38647280258917,0.0028861507005412805
Aeromonas_B,R1,M1,TRUE,4,-962.7454666318885,-950.0289927205384,1.763679161555827e-4,0.0013998726773674125,0.03045411627196909,9.436698685116742e-4,0.9988864117527123,3.3732374148432047,NA,,126.28914364877093,0.02620654599830212
