arm,r_true,K_true,R_true,noise_sd,dt,duration,r_est,K_est,O2_0_est,R_est,bias_log_r,bias_log_K,bias_log_R
none,0.01,0.005,5e-12,0.005,1,120,0.009578216100662265,0.0050774782330608335,1.0001419060670695,5.077478233060833e-12,-0.04309372913747749,0.015376815088854122,-0.036924388429024985
none,0.01,0.005,5e-12,0.005,1,120,0.010321027335800703,0.00493439633149492,0.9990386132973179,4.9343963314949195e-12,0.0315982101474972,-0.013207570942705738,0.026599818696581432
none,0.01,0.005,5e-12,0.005,1,120,0.009647716497398092,0.005078091830217081,1.0010860355304458,5.078091830217081e-12,-0.035863838038993665,0.015497654618919006,-0.0281854997037176
none,0.01,0.005,5e-12,0.005,1,120,0.01057761335451535,0.004868160726998537,0.9973432206250881,4.868160726998537e-12,0.05615472713025611,-0.02672172080404778,0.04490233515585568
none,0.01,0.005,5e-12,0.005,1,120,0.009981327603180226,0.005017347617206476,0.99985961252031,5.017347617206476e-12,-0.0018689851471320473,0.0034635185302849007,0.0011481413246329187
none,0.01,0.005,5e-12,0.005,1,120,0.009635513147308167,0.00507321727879869,1.0008380815090108,5.0732172787986906e-12,-0.037129533873550974,0.014537275668637217,-0.030659094065150043
none,0.01,0.005,5e-12,0.005,1,120,0.010276216970899237,0.004941748062412103,0.9993858186736108,4.941748062412103e-12,0.027247100364984123,-0.011718785039649229,0.02253211935185616
none,0.01,0.005,5e-12,0.005,1,120,0.009544093798968287,0.005101121613257135,1.0021339613528002,5.101121613257135e-12,-0.04666258019053469,0.02002252728447056,-0.03650984164346183
none,0.01,0.005,5e-12,0.005,1,120,0.00979272900438404,0.00504219905814706,1.0006348636284252,5.04219905814706e-12,-0.020944921018134725,0.008404395549746665,-0.017297207906632396
none,0.01,0.005,5e-12,0.005,1,120,0.00967101321133847,0.005070471600616088,1.000624036669954,5.070471600616088e-12,-0.03345201018234582,0.01399591871609293,-0.026798443077936794
none,0.01,0.005,5e-12,0.005,1,120,0.010067980183372637,0.0049799197716961265,0.999676376670846,4.979919771696127e-12,0.0067750159986438895,-0.004024131628487347,0.00440541110971964
none,0.01,0.005,5e-12,0.005,1,120,0.010074081911452783,0.004990177774894861,1.0002413972223014,4.990177774894861e-12,0.00738088527241242,-0.00196637707383709,0.007219779946308025
none,0.01,0.005,5e-12,0.005,1,120,0.009933373077113585,0.005022362224595992,1.0006938029205967,5.022362224595992e-12,-0.006684987107097576,0.004462473258169111,-0.0037992651797463545
none,0.01,0.005,5e-12,0.005,1,120,0.009604039026416914,0.00506723919812581,1.0002019223347856,5.06723919812581e-12,-0.04040135108468268,0.013358219996137486,-0.035740940728165235
none,0.01,0.005,5e-12,0.005,1,120,0.009382150539995682,0.00514458469823601,1.003136688529973,5.14458469823601e-12,-0.06377608759769829,0.0285067341062634,-0.048106598934272014
none,0.01,0.005,5e-12,0.005,1,120,0.010152091591422528,0.004947667715313673,0.9972916954744719,4.947667715313673e-12,0.015094659385077949,-0.01052161551181656,0.008337741824576826
none,0.01,0.005,5e-12,0.005,1,120,0.01060434805426548,0.0048678172381039185,0.997334305153684,4.867817238103918e-12,0.05867901781612893,-0.026792281541960648,0.048146877186958925
none,0.01,0.005,5e-12,0.005,1,120,0.010680625729224085,0.004825578587401386,0.9972196019739594,4.8255785874013855e-12,0.0658463277004014,-0.03550727034498472,0.048890320078801765
none,0.01,0.005,5e-12,0.005,1,180,0.01038951550099347,0.004917015543437241,0.9980067521878782,4.9170155434372405e-12,0.03821207974911281,-0.016736162846544687,0.03156375927664546
