r_true,R_true,noise_sd,dt,duration,n,sd_log_r,sd_log_K,cov_logr_logK,corr_logr_logK,var_logsum,var_logdif,ridge_ratio
0.02,5e-12,0.01,1,60,50,0.05170110181517895,0.03482269715697959,-0.0017685823250540604,-0.9823428216658016,3.4845951608209586e-4,0.007422788816298335,21.301725089205345
0.02,5e-12,0.01,1,120,50,0.035130522003948755,0.02653057158421082,-9.016349370876969e-4,-0.9673853851614221,1.3475493067946847e-4,0.0037412946790302552,27.763694138431152
0.02,5e-12,0.01,1,180,50,0.0441118956037658,0.03326649877335421,-0.0014257100176403705,-0.9715572243631792,2.0109923911437188e-4,0.005903939309675851,29.35833738444969
0.02,5e-12,0.01,3,60,50,0.0841513792994164,0.06028935489494028,-0.004960897351884328,-0.9778187602875124,7.944662478736611e-4,0.020638055655410964,25.97725921100792
0.02,5e-12,0.01,3,120,50,0.0807018041234874,0.060008556260231403,-0.004744056510818427,-0.9796105006085737,6.25694991586228e-4,0.019601921034859932,31.32823707788711
0.02,5e-12,0.01,3,180,50,0.0662257477170069,0.052179796033601934,-0.0033386374494902265,-0.9661398886681312,4.313058758044938e-4,0.0137858556737654,31.963060201884144
0.02,5e-12,0.01,5,60,50,0.09096380878445819,0.062200960516577204,-0.005423083657423225,-0.9584745290334492,0.0012972066829138244,0.022989541312606714,17.722342642397525
0.02,5e-12,0.01,5,120,50,0.07783815683310677,0.05750646092272874,-0.004335439019020344,-0.968554130306843,6.94893668991967e-4,0.018036649745073338,25.955985138327463
0.02,5e-12,0.01,5,180,50,0.08264711180163109,0.06397821146078578,-0.0051263912130316185,-0.9695092776480594,6.709742048090903e-4,0.02117653905693557,31.560884017830233
0.02,8e-12,0.002,1,60,50,0.014275965873291042,0.007762140736855723,-1.0872845971521654e-4,-0.9811970229767049,4.659711100369116e-5,4.8151094986455863e-4,10.333493632822346
0.02,8e-12,0.002,1,120,50,0.01410457312124469,0.007469907365749628,-1.0338780539170917e-4,-0.9812827261009623,4.796288820199991e-5,4.6151410976883736e-4,9.622316901040866
0.02,8e-12,0.002,1,180,50,0.015830572191083556,0.008225845362941036,-1.280990759694496e-4,-0.983713980143153,6.207339589322615e-5,5.744696997710259e-4,9.254684579512682
0.02,8e-12,0.002,3,60,50,0.01857147069230563,0.010259360930197128,-1.856453183164553e-4,-0.9743553976608003,7.886337373831157e-5,8.214446470041326e-4,10.416047501719769
0.02,8e-12,0.002,3,120,50,0.01890444354407708,0.010261364283525648,-1.8933862747302484e-4,-0.9760458532113006,8.39963277243641e-5,8.413508376164631e-4,10.01651929805045
0.02,8e-12,0.002,3,180,50,0.01862949602824587,0.010504181680146253,-1.907478578988751e-4,-0.9747569456803641,7.590023923819965e-5,8.388916708336988e-4,11.052556345718276
0.02,8e-12,0.002,5,60,50,0.016972849556122913,0.009651513604857538,-1.5680028931896664e-4,-0.9571867335783798,6.762875828159613e-5,6.948299155574652e-4,10.274178222588331
0.02,8e-12,0.002,5,120,50,0.021174902321978228,0.01223766793976929,-2.5473340211025166e-4,-0.9830278354218467,8.867020072887391e-5,0.0011076038091698786,12.491274408598544
0.02,8e-12,0.002,5,180,50,0.021310861699461277,0.012537827638849933,-2.6015063440073486e-4,-0.9736471197769979,9.104867947360664e-5,0.0011316512170765445,12.429078857805836
0.02,8e-12,0.005,1,60,50,0.033056405110212926,0.018502965816100225,-5.988712854820284e-4,-0.9791213520165121,2.3734309183822967e-4,0.0026328282337663403,11.092921278538183
0.02,8e-12,0.005,1,120,50,0.03428433832795261,0.017955628887708325,-5.992649103851466e-4,-0.9734697389345262,2.992906425683334e-4,0.0026963502841089193,9.009136607046758
0.02,8e-12,0.005,1,180,50,0.03483016712289243,0.018102351664068844,-6.132767530552813e-4,-0.9726709533718509,3.1428217146767115e-4,0.002767389183688795,8.8054284809263
0.02,8e-12,0.005,3,60,50,0.0416100878347296,0.02307696672703234,-9.266633519993581e-4,-0.9650384811840911,4.1061909893575177e-4,0.004117272506933188,10.02698734083337
0.02,8e-12,0.005,3,120,50,0.039785868423269255,0.021641736974160424,-8.165051125938197e-4,-0.9482829715269658,4.182698802648019e-4,0.0036842903306400754,8.80840458391982
0.02,8e-12,0.005,3,180,50,0.04613977437934262,0.02556370452750711,-0.0011398604893191834,-0.9663900379350415,5.026607903079619e-4,0.005062102747584695,10.070613911388095
0.02,8e-12,0.005,5,60,50,0.0558698272920952,0.033253473591554436,-0.0018031789314789854,-0.9705646693288301,6.208732445947797e-4,0.007833588970510725,12.61705032179863
0.02,8e-12,0.005,5,120,50,0.060805335060451986,0.035018491690478645,-0.0020780930786489927,-0.9759461915133587,7.673973747919716e-4,0.009079769689387937,11.831900899907701
0.02,8e-12,0.005,5,180,50,0.05974511102091859,0.03739322489624876,-0.0022039957400936836,-0.9865417218748324,5.59740078855955e-4,0.00937572303923069,16.7501370607472
0.02,8e-12,0.01,1,60,50,0.06829761916258816,0.03582417639845297,-0.0023812728494705558,-0.9732566527533874,0.0011853906989642898,0.010710482096846516,9.035402510079228
0.02,8e-12,0.01,1,120,50,0.07196476169077853,0.037815808356686936,-0.002652604562547585,-0.9747185524047091,0.0013037531617850389,0.011914171411975389,9.138364347790384
0.02,8e-12,0.01,1,180,50,0.07078471519728188,0.035888140654211,-0.002481827821036137,-0.9769699399964781,0.0013347789031044747,0.011262090187249014,8.43741998098356
0.02,8e-12,0.01,3,60,50,0.09085410327882683,0.052435724703340875,-0.004558812209759239,-0.9569293648752268,0.0018863488882458017,0.02012159772728276,10.666954481572448
