Taxon,Replicate,r_per_minute,K,O2_ref,form,N0,R,R_C_fg_cell_h
Chryseobacterium,R4,0.01577081633140894,6.788354020645641e-4,5.756666666666667,none,1156102837.2151308,3.380174328290452e-12,76.12839650683784
Chryseobacterium,R5,0.0154155460716585,0.00107848665072903,5.933333333333334,none,1294935056.9757383,4.941576614096925e-12,111.2943497317048
Flavobacterium_A,R1,0.01802196080469134,0.0011986181924599,6.0633333333333335,none,693162305.8551195,1.048473291016043e-11,236.13749668842473
Flavobacterium_A,R2,0.01567720728141338,0.00213836650630877,6.216666666666667,none,768571173.4229316,1.7296396534990776e-11,389.5500070912698
Flavobacterium_A,R3,0.02416130472305527,0.00128073842831951,6.116666666666667,none,805526512.495899,9.725130000933255e-12,219.02969518321643
Flavobacterium_A,R4,0.02351547306940147,0.00150600350882712,5.203333333333333,none,939364767.5169163,8.342061069962364e-12,187.88017159444578
Flavobacterium_A,R5,0.02134249516371314,0.00149395526128402,6.166666666666667,none,842981248.0428255,1.092874145497413e-11,246.1374716214031
Flavobacterium_B,R1,0.01610033938702341,0.00162419639662112,6.1466666666666665,none,207748933.16695225,4.805509082065054e-11,1082.2983233580228
Flavobacterium_B,R2,0.0148048700529281,0.00210437422267767,5.776666666666666,none,166798422.3023126,7.287999645645408e-11,1641.4056580507593
Flavobacterium_B,R3,0.01418676802705085,0.0017838885985855,6.3,none,200257986.05756694,5.6120099838904736e-11,1263.938719604509
Flavobacterium_B,R4,0.01497899103177519,0.00188355084972967,6.526666666666666,none,159806871.66688633,7.692603213913996e-11,1732.5306057063751
Flavobacterium_B,R5,0.0079724812945485,0.00158874793200477,6.26,none,79903435.83344316,1.2446976717097812e-10,2803.3121573047406
Herbaspirillum,R1,0.01838774088062516,0.00104265515970884,5.883333333333333,none,1828290491.1639717,3.355204157071148e-12,75.5660174959339
