Taxon,log_R,mu_tax_collapsed
Aeromonas_B,2.3382602390165244,1.9524311781257944
Aeromonas_B,2.3426720037224067,1.9531925596581252
Aeromonas_B,2.347083768428289,1.953953941190456
Aeromonas_B,2.3514955331341714,1.9547153227227867
Aeromonas_B,2.3559072978400537,1.9554767042551175
Aeromonas_B,2.360319062545936,1.9562380857874484
Aeromonas_B,2.3647308272518184,1.956999467319779
Aeromonas_B,2.3691425919577007,1.9577608488521099
Arthrobacter,1.9132484502704803,1.8661961698517262
Arthrobacter,1.9176602149763626,1.8671289524438335
Arthrobacter,1.922071979682245,1.8680617350359405
Arthrobacter,1.9264837443881273,1.8689945176280478
Arthrobacter,1.9308955090940096,1.869927300220155
Arthrobacter,1.935307273799892,1.8708600828122623
Arthrobacter,1.9397190385057743,1.8717928654043694
Arthrobacter,1.9441308032116567,1.8727256479964767
Arthrobacter,1.948542567917539,1.8736584305885837
Arthrobacter,1.9529543326234213,1.874591213180691
Arthrobacter,1.9573660973293037,1.8755239957727983
Arthrobacter,1.9617778620351862,1.8764567783649055
Arthrobacter,1.9661896267410686,1.8773895609570126
Arthrobacter,1.970601391446951,1.8783223435491199
Arthrobacter,1.9750131561528332,1.8792551261412271
Arthrobacter,1.9794249208587156,1.8801879087333342
Arthrobacter,1.983836685564598,1.8811206913254415
Arthrobacter,1.9882484502704802,1.8820534739175487
Arthrobacter,1.9926602149763626,1.882986256509656
Arthrobacter,1.997071979682245,1.883919039101763
Arthrobacter,2.0014837443881275,1.8848518216938703
Arthrobacter,2.00589550909401,1.8857846042859776
Arthrobacter,2.010307273799892,1.8867173868780847
Arthrobacter,2.0147190385057745,1.887650169470192
Arthrobacter,2.019130803211657,1.8885829520622992
Arthrobacter,2.023542567917539,1.8895157346544063
Arthrobacter,2.0279543326234215,1.8904485172465135
Arthrobacter,2.032366097329304,1.8913812998386208
Arthrobacter,2.036777862035186,1.8923140824307279
Arthrobacter,2.0411896267410685,1.8932468650228351
Arthrobacter,2.045601391446951,1.8941796476149424
Arthrobacter,2.050013156152833,1.8951124302070497
Arthrobacter,2.0544249208587155,1.8960452127991567
Arthrobacter,2.058836685564598,1.896977995391264
Arthrobacter,2.06324845027048,1.8979107779833713
Arthrobacter,2.0676602149763625,1.8988435605754783
Arthrobacter,2.072071979682245,1.8997763431675856
Arthrobacter,2.076483744388127,1.9007091257596929
Arthrobacter,2.0808955090940096,1.9016419083518
Arthrobacter,2.085307273799892,1.9025746909439072
Arthrobacter,2.0897190385057742,1.9035074735360145
Arthrobacter,2.0941308032116566,1.9044402561281215
Arthrobacter,2.098542567917539,1.9053730387202288
Arthrobacter,2.1029543326234212,1.906305821312336
Arthrobacter,2.1073660973293036,1.907238603904443
Arthrobacter,2.111777862035186,1.9081713864965504
Arthrobacter,2.1161896267410683,1.9091041690886577
Arthrobacter,2.1206013914469506,1.9100369516807647
Arthrobacter,2.125013156152833,1.910969734272872
Arthrobacter,2.1294249208587153,1.9119025168649793
Arthrobacter,2.1338366855645976,1.9128352994570863
Arthrobacter,2.13824845027048,1.9137680820491936
Arthrobacter,2.1426602149763623,1.9147008646413008
Arthrobacter,2.1470719796822446,1.915633647233408
Arthrobacter,2.151483744388127,1.9165664298255152
Arthrobacter,2.1558955090940093,1.9174992124176224
Arthrobacter,2.1603072737998916,1.9184319950097297
Arthrobacter,2.1647190385057744,1.919364777601837
Arthrobacter,2.1691308032116563,1.920297560193944
Arthrobacter,2.173542567917539,1.9212303427860513
Arthrobacter,2.177954332623421,1.9221631253781584
Arthrobacter,2.1823660973293038,1.9230959079702656
Arthrobacter,2.186777862035186,1.924028690562373
Arthrobacter,2.1911896267410684,1.9249614731544802
Arthrobacter,2.1956013914469508,1.9258942557465872
Arthrobacter,2.200013156152833,1.9268270383386945
Arthrobacter,2.2044249208587154,1.9277598209308018
Arthrobacter,2.208836685564598,1.9286926035229088
Arthrobacter,2.21324845027048,1.929625386115016
Arthrobacter,2.2176602149763625,1.9305581687071234
